Name;Platform;Year;Genre;Sales_NA;Sales_EU;Sales_JP;Sales_Others
Deadliest Catch: Sea of Chaos;X360;2010;Sports;80;0;0;10
Deadliest Catch: Sea of Chaos;Wii;2010;Sports;120;0;0;10
Deadliest Warrior: Ancient Combat;X360;2012;Fighting;40;0;0;0
Deadliest Warrior: Ancient Combat;PS3;2012;Fighting;40;0;0;0
Deadly Arts;N64;1998;Fighting;30;10;0;0
Deadly Creatures;Wii;2009;Action;80;120;0;30
Deadly Duck;2600;1981;Shooter;210;10;0;0
Deadly Premonition;X360;2010;Action;180;60;0;20
Deadly Premonition;PS3;2010;Action;80;50;0;20
Deadpool;XOne;2015;Action;80;30;0;10
Deadpool;X360;2013;Action;260;160;0;40
Deadpool;PS4;2015;Action;130;100;0;50
Deadpool;PS3;2013;Action;230;170;0;80
Deal or No Deal;Wii;2009;Misc;1220;0;0;90
Deal or No Deal;PC;2006;Misc;0;10;0;0
Deal or No Deal;DS;2007;Misc;1150;410;0;150
Deal or No Deal: Special Edition;DS;2010;Misc;40;0;0;0
Deal or No Deal: The Banker is Back!;DS;2008;Misc;0;200;0;0
Death By Degrees;PS2;2005;Action;50;40;0;10
Death Connection Portable;PSP;2011;Adventure;0;0;10;0
Death Jr.;PSP;2005;Platform;170;0;0;10
Death Jr. II: Root of Evil;PSP;2006;Platform;50;0;0;0
Death Jr. and the Science Fair of Doom;DS;2007;Platform;80;0;0;10
Death Jr.: Root of Evil;Wii;2008;Platform;100;0;0;10
Death Trap;2600;1982;Action;150;10;0;0
DeathSmiles;X360;2009;Shooter;150;60;50;20
DeathSmiles II;X360;2010;Shooter;0;0;30;0
Deathrow: Underground Team Combat;XB;2002;Sports;50;10;0;0
Deathtrap Dungeon;PS;1998;Action;190;130;0;20
Deca Sports;Wii;2008;Sports;1130;870;290;250
Deca Sports 2;Wii;2009;Sports;330;340;90;70
Deca Sports 3;Wii;2010;Sports;150;70;0;20
Deca Sports DS;DS;2009;Sports;80;20;0;10
Deca Sports Extreme;3DS;2011;Sports;80;0;30;10
Decathlete;SAT;1994;Sports;0;0;300;0
Deception III: Dark Delusion;PS;1999;Role-Playing;20;10;0;0
Deception IV: Blood Ties;PSV;2014;Action;30;30;70;20
Deception IV: Blood Ties;PS3;2014;Action;20;20;60;10
Deep Fear;SAT;1998;Adventure;0;0;80;0
Deep Labyrinth;DS;2006;Action;60;0;0;0
Deepak Chopra's Leela;Wii;2011;Misc;110;10;0;10
Deepak Chopra's Leela;X360;2011;Misc;70;50;0;10
Deer Drive;Wii;2009;Sports;670;40;0;50
Deer Drive;DS;2010;Sports;410;0;0;20
Deer Drive: Legends;3DS;2012;Action;30;0;0;0
Deer Hunter;PS2;2003;Sports;140;110;0;40
Def Jam Fight For NY: The Takeover;PSP;2006;Action;80;0;0;10
Def Jam Icon;X360;2007;Action;300;10;0;30
Def Jam Icon;PS3;2007;Action;160;190;0;80
Def Jam Rapstar;X360;2010;Misc;250;30;0;20
Def Jam Rapstar;Wii;2010;Misc;310;20;0;20
Def Jam Rapstar;PS3;2010;Misc;250;50;0;30
Def Jam Vendetta;PS2;2003;Fighting;950;740;0;250
Def Jam Vendetta;GC;2003;Fighting;190;50;0;10
Def Jam: Fight for NY;GC;2004;Fighting;170;50;0;10
Def Jam: Fight for NY;PS2;2004;Fighting;860;670;0;220
DefCon 5;PS;1995;Shooter;40;30;0;0
Defender;GC;2002;Misc;80;20;0;0
Defender;XB;2002;Misc;70;20;0;0
Defender;2600;1980;Misc;990;50;0;10
Defender;PS2;2002;Misc;200;150;0;50
Defender II;2600;1987;Shooter;420;20;0;0
Defendin' De Penguin;DS;2008;Strategy;20;0;0;0
Defendin' De Penguin;Wii;2008;Strategy;50;0;0;0
Defiance;PC;2013;Shooter;140;40;0;20
Defiance;PS3;2013;Shooter;190;110;0;50
Defiance;X360;2013;Shooter;380;150;0;40
Delta Force: Black Hawk Down;XB;2005;Shooter;250;70;0;10
Delta Force: Black Hawk Down;PS2;2005;Shooter;220;170;0;60
Dementium II;DS;2010;Shooter;90;20;0;10
Dementium: The Ward;DS;2007;Shooter;150;10;0;10
DemiKids: Dark Version;GBA;2002;Role-Playing;20;10;0;0
DemiKids: Light Version;GBA;2002;Role-Playing;20;10;0;0
Demigod;PC;2009;Strategy;0;20;0;0
Demolition Company: Gold Edition;PC;2011;Simulation;0;20;0;0
Demolition Racer;PS;1998;Racing;170;120;0;20
Demon Attack;2600;1981;Shooter;1990;120;0;20
Demon Driver: Time to Burn Rubber!;GBA;2003;Racing;20;10;0;0
Demon Gaze;PSV;2013;Role-Playing;60;30;80;20
Demon Gaze 2;PSV;2014;Role-Playing;0;0;10;0
Demon's Souls;PS3;2009;Role-Playing;970;340;350;180
Dengeki Bunko Fighting Climax;PS3;2014;Fighting;50;0;90;10
Dengeki Bunko Fighting Climax;PSV;2014;Fighting;80;0;70;30
Dengeki Gakuen RPG: Cross of Venus;DS;2009;Role-Playing;0;0;50;0
Dengeki Gakuen RPG: Cross of Venus Special;DS;2011;Role-Playing;0;0;10;0
Denki Blocks!;GBA;2001;Puzzle;30;10;0;0
Dennou Senki Virtual-On Force;X360;2010;Fighting;0;0;30;0
Densetsu no Stafi;GBA;2002;Platform;0;0;460;10
Densetsu no Stafi 2;GBA;2003;Platform;0;0;430;10
Densetsu no Stafi 3;GBA;2004;Platform;0;0;230;10
Densetsu no Stafi 4;DS;2006;Platform;0;0;170;0
Densetsu no Yuusha no Densetsu: Legendary Saga;PSP;2010;Role-Playing;0;0;10;0
Densha De Go!;PS;1997;Simulation;0;0;1020;70
Densha De Go! 2;PS;1999;Simulation;0;0;380;30
Densha De Go! 3 Tsuukinhen;PS2;2001;Simulation;0;0;60;0
Densha De Go! 64;N64;1999;Simulation;0;0;50;70
Densha de Go! Shinkansen EX: Sanyou Shinkansen-hen;Wii;2007;Simulation;0;0;20;0
Densha de Go! Tokubetsu-hen: Fukkatsu Shouwa no Yamatesen;DS;2010;Simulation;0;0;20;0
Deponia;PC;2012;Adventure;0;130;0;30
Derby Jockey 2;SNES;1995;Sports;0;0;100;0
Derby Jockey: Kishou e no Michi;SNES;1994;Sports;0;0;70;0
Derby Stallion;SAT;1999;Sports;0;0;90;0
Derby Stallion;PS;1997;Sports;0;0;1960;140
Derby Stallion 04;PS2;2004;Sports;0;0;550;0
Derby Stallion 64;N64;2001;Sports;0;0;150;0
Derby Stallion 96;SNES;1996;Sports;0;0;1040;10
Derby Stallion 98;SNES;1998;Sports;0;0;80;0
Derby Stallion 99;PS;1999;Sports;0;0;1060;70
Derby Stallion Advance;GBA;2002;Sports;0;0;120;0
Derby Stallion DS;DS;2008;Sports;0;0;320;0
Derby Stallion Gold;3DS;2014;Sports;0;0;140;0
Derby Stallion II;SNES;1994;Sports;0;0;870;0
Derby Stallion III;SNES;1995;Sports;0;0;1150;0
Derby Stallion P;PSP;2006;Sports;0;0;100;0
Derby Time 2006;PSP;2006;Sports;0;0;30;0
Derby Tsuku 5: Derby Uma o Tsukurou!;PS2;2006;Sports;0;0;40;0
Derby Tsuku: Derby Uma o Tsukurou!;DC;2000;Sports;0;0;80;0
Descent;PS;1996;Shooter;110;70;0;10
Descent Maximum;PS;1997;Shooter;50;40;0;10
Desert Falcon;2600;1987;Shooter;240;10;0;0
Desert Strike Advance;GBA;2002;Simulation;50;20;0;0
Desire;SAT;1997;Adventure;0;0;140;0
Desktop Tower Defense;DS;2009;Strategy;110;0;0;10
Despicable Me: The Game;Wii;2010;Platform;190;120;0;30
Despicable Me: The Game;PS2;2010;Platform;50;40;0;10
Despicable Me: The Game;PSP;2010;Platform;50;80;0;40
Despicable Me: The Game - Minion Mayhem;DS;2010;Puzzle;420;90;0;40
Destiny;PS4;2014;Shooter;2490;2050;160;960
Destiny;PS3;2014;Shooter;670;660;120;270
Destiny;XOne;2014;Shooter;2130;920;0;230
Destiny;X360;2014;Shooter;1300;490;0;160
Destiny Links;DS;2009;Role-Playing;0;0;10;0
Destiny: The Collection;XOne;2016;Shooter;10;20;0;0
Destiny: The Collection;PS4;2016;Shooter;10;40;0;10
Destiny: The Taken King;PS3;2015;Shooter;160;170;20;60
Destiny: The Taken King;XOne;2015;Shooter;820;230;0;110
Destiny: The Taken King;PS4;2015;Shooter;770;780;40;310
Destiny: The Taken King;X360;2015;Shooter;220;120;0;30
Destrega;PS;1998;Fighting;40;30;0;0
Destroy All Humans!;PS2;2005;Shooter;780;30;0;130
Destroy All Humans!;XB;2005;Shooter;340;110;0;20
Destroy All Humans! 2;PS2;2006;Action;400;20;0;70
Destroy All Humans! Big Willy Unleashed;Wii;2008;Action;130;0;0;10
Destroy All Humans! Path of the Furon;PS3;2009;Action;0;80;0;10
Destroy All Humans! Path of the Furon;X360;2008;Action;80;40;0;10
Destruction Derby;PS;1995;Racing;500;340;0;60
Destruction Derby 2;PS;1996;Racing;650;440;0;80
Destruction Derby 64;N64;1999;Racing;130;30;0;0
Destruction Derby Arenas;PS2;2004;Racing;60;50;0;20
Destruction Derby Raw;PS;2000;Racing;80;50;0;10
Detana TwinBee Yahho! Deluxe Pack;PS;1995;Shooter;0;0;80;10
Detana TwinBee Yahho! Deluxe Pack;SAT;1995;Shooter;0;0;130;0
Detective Barbie: The Mystery Cruise;PS;1999;Adventure;80;50;0;10
Detective Conan: Marionette Symphony;3DS;2013;Adventure;0;0;50;0
Detective Conan: Phantom Rhapsody;3DS;2014;Action;0;0;30;0
Detective Conan: Prelude from the Past;PSP;2012;Action;0;0;40;0
Detective Conan: Prelude from the Past;DS;2012;Action;0;0;50;0
Detective Jinguuji Saburo: Ronde Revenge;3DS;2012;Action;0;0;20;0
Detective Opera: Milky Holmes 2;PSP;2012;Adventure;0;0;30;0
Deus Ex;PC;2000;Role-Playing;0;10;0;0
Deus Ex: Human Revolution;X360;2011;Shooter;760;480;20;120
Deus Ex: Human Revolution;PS3;2011;Shooter;500;600;70;230
Deus Ex: Human Revolution;WiiU;2013;Shooter;60;50;0;10
Deus Ex: Human Revolution;PC;2011;Shooter;250;250;0;90
Deus Ex: Invisible War;XB;2003;Shooter;250;70;0;10
Deus Ex: Mankind Divided;PS4;2016;Role-Playing;100;180;0;50
Deus Ex: Mankind Divided;PC;2016;Role-Playing;0;20;0;0
Deus Ex: Mankind Divided;XOne;2016;Role-Playing;80;60;0;10
Deus Ex: The Conspiracy;PS2;2002;Action;100;80;0;30
Devil Dice;PS;1998;Puzzle;50;30;1100;80
Devil Kings;PS2;2005;Action;30;30;180;10
Devil May Cry;PS2;2001;Action;1360;860;640;130
Devil May Cry 2;PS2;2003;Action;710;580;510;170
Devil May Cry 3: Dante's Awakening;PS2;2005;Action;990;630;290;190
Devil May Cry 3: Dante's Awakening Special Edition;PS2;2006;Action;1060;820;50;280
Devil May Cry 4;PS4;2015;Action;10;0;80;0
Devil May Cry 4;X360;2008;Action;790;340;80;130
Devil May Cry 4;PC;2008;Action;10;20;0;10
Devil May Cry 4;PS3;2008;Action;580;460;340;210
Devil May Cry HD Collection;PS3;2012;Action;420;210;110;100
Devil May Cry HD Collection;X360;2012;Action;280;110;10;30
Devil Survivor: Over Clock;3DS;2015;Strategy;0;0;20;0
Devil's Third;WiiU;2015;Action;40;20;0;10
Dewy's Adventure;Wii;2007;Platform;140;0;10;10
Dexter's Lab Chess Challenge;GBA;2002;Misc;140;50;0;0
Dexter's Laboratory Deesaster Strikes;GBA;2001;Adventure;300;110;0;10
Di-Gata Defenders;DS;2008;Role-Playing;60;0;0;0
DiRT;PS3;2007;Racing;160;670;0;230
DiRT;PC;2007;Racing;0;20;0;0
DiRT;X360;2007;Racing;380;400;0;90
DiRT 2;Wii;2009;Racing;110;230;0;40
DiRT 2;PS3;2009;Racing;270;530;0;200
DiRT 2;PSP;2009;Racing;90;160;0;90
DiRT 2;X360;2009;Racing;320;400;0;90
DiRT 2;PC;2009;Racing;0;40;0;10
DiRT 2;DS;2009;Racing;60;40;0;10
DiRT 3;PC;2011;Racing;0;130;0;30
DiRT 3;PS3;2011;Racing;270;590;10;210
DiRT 3;X360;2011;Racing;230;410;10;80
DiRT Rally;PC;2016;Racing;0;30;0;0
DiRT Rally;PS4;2016;Racing;30;240;0;50
DiRT Rally;XOne;2016;Racing;30;80;0;10
DiRT Showdown;PS3;2012;Racing;20;130;0;40
DiRT Showdown;X360;2012;Racing;80;140;0;20
Diablo;PS;1997;Role-Playing;290;190;70;40
Diablo;PC;1996;Role-Playing;10;1580;0;0
Diablo II;PC;2000;Role-Playing;10;90;0;20
Diablo II: Lord of Destruction;PC;2001;Role-Playing;1030;20;0;0
Diablo III;PS4;2014;Role-Playing;490;880;60;300
Diablo III;PS3;2013;Role-Playing;710;830;150;350
Diablo III;PC;2012;Role-Playing;2430;2150;0;620
Diablo III;X360;2013;Role-Playing;890;440;0;120
Diablo III;XOne;2014;Role-Playing;350;240;0;50
Diabolik Lovers;PSP;2012;Adventure;0;0;50;0
Diabolik Lovers: Dark Fate;PSV;2015;Action;0;0;30;0
Diabolik Lovers: Lunatic Parade;PSV;2016;Adventure;0;0;30;0
Diabolik Lovers: More Blood;PSV;2015;Adventure;0;0;20;0
Diabolik Lovers: More Blood;PSP;2013;Adventure;0;0;30;0
Diabolik Lovers: Vandead Carnival;PSV;2014;Action;0;0;20;0
Diary Girl;DS;2008;Misc;10;0;0;0
Diddy Kong Racing;N64;1997;Racing;2910;990;890;100
Diddy Kong Racing DS;DS;2007;Racing;1100;40;0;100
Die Hard Trilogy;PS;1996;Shooter;850;580;0;100
Die Hard Trilogy 2: Viva Las Vegas;PS;1999;Action;270;180;0;30
Die Hard: Vendetta;GC;2002;Shooter;90;20;0;0
Diego's Build & Rescue;DS;2010;Action;70;0;0;10
Dies Irae: Amantes Amentes;PSP;2012;Action;0;0;20;0
Dig Dug;2600;1982;Puzzle;1520;100;0;20
Dig Dug;NES;1985;Puzzle;0;0;410;0
Dig Dug: Digging Strike;DS;2005;Puzzle;50;0;0;0
Digger Simulator;PC;2011;Simulation;0;10;0;0
Digging for Dinosaurs;DS;2010;Action;350;0;0;20
Digimon Adventure;PSP;2013;Role-Playing;0;0;100;0
Digimon Adventure: Anode Tamer;WS;1999;Role-Playing;0;0;280;0
Digimon All-Star Rumble;PS3;2014;Fighting;60;30;0;20
Digimon All-Star Rumble;X360;2014;Fighting;40;10;0;10
Digimon Battle Spirit 2;GBA;2003;Fighting;110;40;0;0
Digimon Digital Card Battle;PS;1999;Strategy;60;40;0;10
Digimon Racing;GBA;2004;Racing;90;30;0;0
Digimon Rumble Arena;PS;2001;Fighting;10;10;0;0
Digimon Rumble Arena 2;GC;2004;Fighting;30;10;0;0
Digimon Rumble Arena 2;PS2;2004;Fighting;50;40;0;10
Digimon Rumble Arena 2;XB;2004;Fighting;10;0;0;0
Digimon Story: Cyber Sleuth;PS4;2016;Role-Playing;0;90;0;20
Digimon Story: Cyber Sleuth;PSV;2015;Role-Playing;0;0;170;0
Digimon Story: Lost Evolution;DS;2010;Role-Playing;0;0;100;0
Digimon Story: Super Xros Wars Blue/Red;DS;2011;Role-Playing;0;0;100;0
Digimon World;PS;1999;Role-Playing;560;380;280;80
Digimon World 2;PS;2000;Role-Playing;230;160;160;40
Digimon World 4;XB;2005;Role-Playing;20;10;0;0
Digimon World 4;PS2;2005;Role-Playing;80;60;0;20
Digimon World 4;GC;2005;Role-Playing;70;20;0;0
Digimon World Championship;DS;2008;Role-Playing;0;0;70;0
Digimon World DS;DS;2006;Role-Playing;100;0;0;10
Digimon World DS (JP sales);DS;2006;Role-Playing;0;0;230;0
Digimon World Re:Digitize;PSP;2012;Action;0;0;220;0
Digimon World Re:Digitize Decode;3DS;2013;Role-Playing;0;0;90;0
Digimon World: Data Squad;PS2;2006;Role-Playing;120;90;0;30
Digimon World: Dawn / Dusk;DS;2007;Role-Playing;140;0;180;10
Digimon World: Next Order;PSV;2016;Action;0;0;90;0
Diner Dash: Flo on the Go;DS;2009;Puzzle;130;0;0;10
Diner Dash: Sizzle & Serve;PSP;2007;Puzzle;110;0;0;10
Diner Dash: Sizzle & Serve;DS;2007;Puzzle;340;30;0;30
Dino Crisis;PS;1998;Action;810;760;700;140
Dino Crisis 2;PS;2000;Action;340;490;280;100
Dino Crisis 3;XB;2003;Action;80;30;30;0
Dino Dini's Kick Off Revival;PS4;2016;Sports;0;20;0;0
Dino Master: Dig Discover Duel;DS;2005;Strategy;60;0;0;0
Dino Pets;DS;2009;Simulation;50;0;0;0
Dino Stalker;PS2;2002;Shooter;70;60;80;20
Dinosaur King;DS;2007;Strategy;200;0;0;20
Dinotopia: The Sunstone Odyssey;XB;2003;Action;10;0;0;0
Dinotopia: The Timestone Pirates;GBA;2002;Action;140;50;0;0
Dirge of Cerberus: Final Fantasy VII;PS2;2006;Shooter;470;370;520;120
Disaster Report;PS2;2002;Action;30;20;150;10
Disaster: Day of Crisis;Wii;2008;Action;0;30;40;0
Disciples III: Renaissance;PC;2010;Strategy;0;10;0;0
Discovery Kids: Dolphin Discovery;DS;2008;Simulation;210;0;0;10
Discovery Kids: Kitten Corner;DS;2009;Simulation;420;0;0;30
Discovery Kids: Parrot Pals;DS;2009;Simulation;70;0;0;0
Discovery Kids: Pony Paradise;DS;2009;Simulation;190;0;0;10
Discovery Kids: Puppy Playtime;DS;2009;Simulation;300;0;0;20
Discovery Kids: Snake Safari;DS;2009;Simulation;20;0;0;0
Discovery Kids: Spider Quest;DS;2009;Misc;70;0;0;10
Discworld;PS;1994;Adventure;40;20;0;0
Discworld II: Mortality Bytes!;PS;1996;Adventure;10;10;0;0
Disgaea 2: Cursed Memories;PS2;2006;Role-Playing;90;70;150;20
Disgaea 2: Dark Hero Days;PSP;2009;Role-Playing;100;10;120;20
Disgaea 3: Absence of Justice;PS3;2008;Role-Playing;320;40;110;40
Disgaea 4: A Promise Unforgotten;PSV;2014;Role-Playing;40;40;80;20
Disgaea 4: A Promise Unforgotten;PS3;2011;Role-Playing;270;110;140;60
Disgaea 5: Alliance of Vengeance;PS4;2015;Role-Playing;100;80;60;40
Disgaea D2: A Brighter Darkness;PS3;2013;Role-Playing;90;0;100;10
Disgaea DS;DS;2008;Role-Playing;110;20;50;10
Disgaea Infinite;PSP;2010;Adventure;70;0;10;10
Disgaea: Afternoon of Darkness;PSP;2006;Role-Playing;150;10;40;20
Disgaea: Hour of Darkness;PS2;2003;Role-Playing;160;130;0;40
Dishonored;PC;2012;Action;260;190;0;60
Dishonored;XOne;2015;Action;80;50;0;10
Dishonored;PS3;2012;Action;720;540;40;250
Dishonored;PS4;2015;Action;110;180;20;60
Dishonored;X360;2012;Action;1060;520;10;140
Disney Art Academy;3DS;2016;Action;10;10;70;0
Disney Channel Collection Vol. 1;GBA;2004;Misc;80;30;0;0
Disney Channel: All Star Party;Wii;2010;Misc;180;80;0;20
Disney Fairies: Tinker Bell;DS;2008;Adventure;860;520;10;150
Disney Fairies: Tinker Bell and the Great Fairy Rescue;DS;2010;Adventure;180;140;0;30
Disney Fairies: Tinker Bell and the Lost Treasure;DS;2009;Adventure;570;350;20;100
Disney Friends;DS;2007;Simulation;130;40;0;10
Disney Golf;PS2;2002;Sports;70;60;20;20
Disney Guilty Party;Wii;2010;Misc;430;0;0;30
Disney Infinity;WiiU;2013;Action;330;220;0;50
Disney Infinity;X360;2013;Action;960;370;0;110
Disney Infinity;PS3;2013;Action;480;350;0;160
Disney Infinity;Wii;2013;Action;1150;440;0;140
Disney Infinity;PSV;2013;Action;50;0;0;20
Disney Infinity;3DS;2013;Action;160;100;0;20
Disney Infinity 2.0: Marvel Super Heroes;XOne;2014;Action;240;150;0;30
Disney Infinity 2.0: Marvel Super Heroes;X360;2014;Action;620;400;0;100
Disney Infinity 2.0: Marvel Super Heroes;WiiU;2014;Action;380;220;0;60
Disney Infinity 2.0: Marvel Super Heroes;PSV;2015;Action;0;110;0;30
Disney Infinity 2.0: Marvel Super Heroes;PS4;2014;Action;260;240;0;100
Disney Infinity 2.0: Marvel Super Heroes;PS3;2014;Action;440;400;0;170
Disney Infinity 3.0;WiiU;2015;Action;200;210;0;40
Disney Infinity 3.0;X360;2015;Action;190;210;0;40
Disney Infinity 3.0;XOne;2015;Action;180;100;0;30
Disney Infinity 3.0;PS4;2015;Action;210;360;0;110
Disney Infinity 3.0;PS3;2015;Action;140;250;0;80
Disney Magic World 2;3DS;2015;Action;0;0;190;0
Disney Magical World;3DS;2013;Adventure;160;200;530;30
Disney Planes Fire & Rescue;WiiU;2014;Action;10;10;0;0
Disney Planes Fire & Rescue;Wii;2014;Action;0;50;0;0
Disney Planes Fire & Rescue;3DS;2014;Action;10;80;0;10
Disney Princess;GBA;2003;Platform;1040;370;0;60
Disney Princess: Enchanted Journey;Wii;2007;Adventure;1240;40;0;90
Disney Princess: Enchanted Journey;PS2;2007;Adventure;110;90;0;30
Disney Princess: Enchanting Storybooks;DS;2011;Misc;80;40;0;10
Disney Princess: Enchanting Storybooks;Wii;2011;Misc;260;110;0;40
Disney Princess: Magical Jewels;DS;2007;Adventure;1150;200;0;120
Disney Sing It;X360;2008;Misc;390;10;0;30
Disney Sing It;Wii;2008;Misc;770;310;0;120
Disney Sing It;PS3;2008;Misc;270;70;0;40
Disney Sing It;PS2;2008;Misc;250;190;0;60
Disney Sing It! High School Musical 3: Senior Year;PS2;2008;Misc;90;20;0;340
Disney Sing It! High School Musical 3: Senior Year;X360;2009;Misc;90;0;0;10
Disney Sing It! High School Musical 3: Senior Year;PS3;2008;Misc;80;260;0;70
Disney Sing It! High School Musical 3: Senior Year;Wii;2008;Misc;320;230;0;40
Disney Sing It: Family Hits;PS3;2010;Misc;110;40;0;20
Disney Sing It: Family Hits;Wii;2010;Misc;390;180;0;50
Disney Sing It: Party Hits;PS3;2010;Misc;100;10;0;10
Disney Sing It: Party Hits;Wii;2010;Misc;500;110;0;50
Disney Sing It: Pop Hits;PS2;2009;Misc;100;20;0;220
Disney Sing It: Pop Hits;PS3;2009;Misc;170;50;0;30
Disney Sing It: Pop Hits;Wii;2009;Misc;1080;280;0;130
Disney Sports Basketball;GBA;2002;Sports;10;0;0;0
Disney Sports Football;GBA;2002;Sports;10;10;0;0
Disney Sports Football;GC;2002;Sports;10;0;0;0
Disney Sports Skateboarding;GC;2002;Sports;50;10;0;0
Disney Sports Skateboarding;GBA;2002;Sports;50;20;0;0
Disney Sports Soccer;GBA;2002;Sports;20;10;0;0
Disney Sports Soccer;GC;2002;Sports;30;10;0;0
Disney Stitch Jam;DS;2009;Misc;80;0;160;0
Disney TH!NK Fast: The Ultimate Trivia Showdown;PS2;2008;Misc;80;60;0;20
Disney TH!NK Fast: The Ultimate Trivia Showdown;Wii;2008;Misc;370;160;10;60
Disney Tangled;DS;2010;Action;580;370;0;90
Disney Tangled;Wii;2010;Action;470;170;0;50
Disney Universe;Wii;2011;Action;670;300;0;100
Disney Universe;X360;2011;Action;370;150;0;50
Disney Universe;PS3;2011;Action;300;230;0;90
Disney's 102 Dalmatians: Puppies to the Rescue;PS;2000;Platform;340;230;0;40
Disney's A Christmas Carol;DS;2009;Adventure;220;10;0;20
Disney's Aladdin;SNES;1993;Platform;940;340;210;270
Disney's Aladdin;GBA;2003;Platform;20;10;0;0
Disney's Aladdin in Nasira's Revenge;PS;2000;Action;50;40;0;10
Disney's American Dragon Jake Long: Attack of the Dark Dragon;DS;2006;Action;150;0;0;10
Disney's Atlantis: The Lost Empire;PS;2001;Platform;100;70;0;10
Disney's Atlantis: The Lost Empire;GBA;2001;Platform;90;30;0;0
Disney's Brother Bear;GBA;2003;Action;280;100;0;10
Disney's Chicken Little;GBA;2005;Platform;500;180;0;10
Disney's Chicken Little;XB;2005;Platform;100;30;0;0
Disney's Chicken Little;PS2;2005;Platform;320;250;0;80
Disney's Chicken Little;GC;2005;Platform;210;50;0;10
Disney's Chicken Little: Ace In Action;DS;2006;Shooter;60;0;0;0
Disney's Chip 'n Dale: Rescue Rangers;NES;1990;Platform;680;140;350;20
Disney's Donald Duck Advance;GBA;2001;Platform;50;20;0;0
Disney's Donald Duck: Goin' Quackers;GC;2002;Platform;30;10;0;0
Disney's Donald Duck: Goin' Quackers;N64;2000;Platform;80;20;0;0
Disney's Donald Duck: Goin' Quackers;PS2;2000;Platform;40;30;0;10
Disney's Donald Duck: Goin' Quackers;PS;2000;Platform;80;60;0;10
Disney's DuckTales;NES;1989;Platform;910;300;420;40
Disney's DuckTales;GB;1988;Platform;820;230;350;30
Disney's Extreme Skate Adventure;GBA;2003;Sports;200;80;0;10
Disney's Extreme Skate Adventure;GC;2003;Sports;90;20;0;0
Disney's Extreme Skate Adventure;XB;2003;Sports;80;20;0;0
Disney's Extreme Skate Adventure;PS2;2003;Sports;160;120;0;40
Disney's Hercules / Disney's The Jungle Book: Groove Party / A Bug's Life;PS;2003;Misc;230;150;0;30
Disney's Hide & Sneak;GC;2003;Action;30;10;0;0
Disney's Home on the Range;GBA;2004;Action;120;40;0;0
Disney's Kim Possible 2: Drakken's Demise;GBA;2004;Platform;470;170;0;10
Disney's Kim Possible 3: Team Possible;GBA;2005;Platform;330;120;0;10
Disney's Kim Possible: Global Gemini;DS;2007;Platform;50;10;0;0
Disney's Kim Possible: Kimmunicator;DS;2005;Platform;110;10;0;10
Disney's Kim Possible: Revenge of Monkey Fist;GBA;2002;Platform;370;140;0;10
Disney's Lilo & Stitch;GBA;2002;Platform;770;290;0;20
Disney's Magical Mirror Starring Mickey Mouse;GC;2002;Adventure;150;40;0;10
Disney's Magical Quest 2 Starring Mickey and Minnie;GBA;2003;Action;50;20;0;0
Disney's Magical Quest 3 Starring Mickey and Donald;GBA;2003;Action;20;10;0;0
Disney's Magical Quest Starring Mickey and Minnie;GBA;2002;Action;160;60;0;0
Disney's Meet the Robinsons;DS;2007;Action;20;0;0;0
Disney's Meet the Robinsons;GC;2007;Action;30;10;0;0
Disney's Meet the Robinsons;X360;2007;Action;70;0;0;10
Disney's Meet the Robinsons;Wii;2007;Action;170;0;0;10
Disney's PK: Out of the Shadows;PS2;2002;Platform;60;50;0;20
Disney's PK: Out of the Shadows;GC;2002;Platform;40;10;0;0
Disney's Party;GBA;2003;Misc;50;20;0;0
Disney's Party;GC;2002;Misc;40;10;0;0
Disney's Peter Pan: Return to Never Land;GBA;2002;Platform;80;30;0;0
Disney's Planes;Wii;2013;Simulation;80;70;0;20
Disney's Planes;3DS;2013;Simulation;40;30;0;10
Disney's Planes;WiiU;2013;Simulation;150;40;0;20
Disney's Planes;DS;2013;Simulation;130;100;0;20
Disney's Stitch: Experiment 626;PS2;2002;Action;150;120;0;40
Disney's Story Studio: Disney's Mulan;PS;1999;Misc;90;60;0;10
Disney's Tarzan;N64;2000;Platform;160;40;0;0
Disney's Tarzan / Disney's Aladdin in Nasira's Revenge / Disney's The Emperor's New Groove Action Game;PS;2003;Misc;690;470;0;80
Disney's Tarzan Untamed;GC;2001;Platform;140;40;0;0
Disney's Tarzan Untamed;PS2;2001;Platform;200;160;0;50
Disney's Tarzan: Return to the Jungle;GBA;2002;Action;250;90;0;10
Disney's The Emperor's New Groove;PS;2000;Platform;170;120;0;20
Disney's The Haunted Mansion;PS2;2003;Platform;180;140;0;50
Disney's The Haunted Mansion;GC;2003;Platform;80;20;0;0
Disney's The Haunted Mansion;XB;2003;Platform;70;20;0;0
Disney's The Jungle Book;GBA;2002;Platform;70;30;0;0
Disney's The Lion King;SNES;1994;Platform;1260;390;80;60
Disney's The Lion King;GEN;1994;Platform;970;370;30;50
Disney's The Lion King: Simba's Mighty Adventure;PS;2000;Action;80;60;0;10
Disney's The Little Mermaid: Ariel's Undersea Adventure;DS;2006;Action;730;30;0;60
Disney's Treasure Planet;GBA;2002;Action;200;70;0;10
Disney's Treasure Planet;PS2;2002;Action;160;130;0;40
